"vintage_date","target_quarter","target_gdp_growth","target_recession","quarter_end","days_after_quarter_end","release_round"
2014-11-14,"2014-Q3",0.161347516532917,0,2014-09-30,45,1
2014-12-05,"2014-Q3",0.157784383890158,0,2014-09-30,66,2
2015-02-13,"2014-Q4",0.339919441124859,0,2014-12-31,44,1
2015-03-06,"2014-Q4",0.329181186929706,0,2014-12-31,65,2
2015-05-13,"2015-Q1",0.400088126752696,0,2015-03-31,43,1
2015-06-09,"2015-Q1",0.372512835177985,0,2015-03-31,70,2
2015-08-14,"2015-Q2",0.311294865911771,0,2015-06-30,45,1
2015-09-08,"2015-Q2",0.357109033698566,0,2015-06-30,70,2
2015-11-13,"2015-Q3",0.297431404824255,0,2015-09-30,44,1
2015-12-08,"2015-Q3",0.289337307480619,0,2015-09-30,69,2
2016-02-12,"2015-Q4",0.266994092463779,0,2015-12-31,43,1
2016-03-08,"2015-Q4",0.313095314594314,0,2015-12-31,68,2
2016-04-29,"2016-Q1",0.550439179495776,0,2016-03-31,29,1
2016-05-13,"2016-Q1",0.519876299586475,0,2016-03-31,43,2
2016-06-07,"2016-Q1",0.550423273637768,0,2016-03-31,68,3
2016-07-29,"2016-Q2",0.288880405335501,0,2016-06-30,29,1
2016-08-12,"2016-Q2",0.278337515884131,0,2016-06-30,43,2
2016-09-06,"2016-Q2",0.297572811236613,0,2016-06-30,68,3
2016-10-21,"2016-Q2",0.294435130067394,0,2016-06-30,113,4
2016-10-31,"2016-Q3",0.340655549385027,0,2016-09-30,31,1
2016-11-15,"2016-Q3",0.349127179888065,0,2016-09-30,46,2
2016-12-06,"2016-Q3",0.347197889698081,0,2016-09-30,67,3
2017-01-23,"2016-Q3",0.435326819385162,0,2016-09-30,115,4
2017-01-31,"2016-Q4",0.500806818359889,0,2016-12-31,31,1
2017-02-14,"2016-Q4",0.396792597831142,0,2016-12-31,45,2
2017-03-07,"2016-Q4",0.408021635376166,0,2016-12-31,66,3
2017-04-07,"2016-Q4",0.477463845051052,0,2016-12-31,97,4
2017-05-03,"2017-Q1",0.455026922190727,0,2017-03-31,33,1
2017-05-16,"2017-Q1",0.489638017104133,0,2017-03-31,46,2
2017-06-08,"2017-Q1",0.58165735544462,0,2017-03-31,69,3
2017-07-26,"2017-Q1",0.505209182369049,0,2017-03-31,117,4
2017-08-01,"2017-Q2",0.561155338791841,0,2017-06-30,32,1
2017-08-16,"2017-Q2",0.628263645760074,0,2017-06-30,47,2
2017-09-07,"2017-Q2",0.631889506692862,0,2017-06-30,69,3
