"quarter","real_time_vintage_date","real_time_release_round","days_after_quarter_end","gdp_growth_real_time","recession_real_time","ciss_real_time","pmi_real_time","ciss_last_date_real_time","pmi_last_release_date_real_time","pmi_months_available_real_time","training_observations_real_time","training_recessions_real_time","prob_recession_real_time","lower_95_real_time","upper_95_real_time"
"2014-Q3",2014-11-14,1,45,0.161347516532917,0,0.0129784056448137,52.7666666666667,2014-09-30,2014-09-26,3,64,10,0.0108992618914578,0.000198440701699123,0.0513018220919045
"2014-Q4",2015-02-13,1,44,0.339919441124859,0,0.0232098560842145,51.5333333333333,2014-12-31,2014-12-26,3,65,9,0.0404948163869879,0.00278685913859676,0.132502026867106
"2015-Q1",2015-05-13,1,43,0.400088126752696,0,0.0873537673818193,53.3,2015-03-31,2015-03-26,3,66,10,0.0102020264803121,0.000284697924519214,0.0490640089423517
"2015-Q2",2015-08-14,1,45,0.311294865911771,0,0.120130703562686,53.9,2015-06-30,2015-06-26,3,67,10,0.00713095861427954,0.000212237823394353,0.032655723127194
"2015-Q3",2015-11-13,1,44,0.297431404824255,0,0.237167245956238,53.9333333333333,2015-09-30,2015-09-26,3,68,10,0.0122500001386641,0.000412329122904176,0.056570972798914
"2015-Q4",2016-02-12,1,43,0.266994092463779,0,0.221323201714759,54.1333333333333,2015-12-31,2015-12-26,3,69,11,0.013723054235659,0.000432014572589237,0.0588487913205576
"2016-Q1",2016-04-29,1,29,0.550439179495776,0,0.27328894299173,53.2333333333333,2016-03-31,2016-03-26,3,70,11,0.0355886547149932,0.00178107228168609,0.126538141813995
"2016-Q2",2016-07-29,1,29,0.288880405335501,0,0.210287844889508,53.0666666666667,2016-06-30,2016-06-26,3,71,9,0.0160793291722527,0.000969316913826222,0.0626698412549909
"2016-Q3",2016-10-31,1,31,0.340655549385027,0,0.245755884140925,52.9,2016-09-30,2016-09-26,3,72,9,0.0196204871364491,0.00146063553549116,0.0704288808980338
"2016-Q4",2017-01-31,1,31,0.500806818359889,0,0.165204716101735,53.8666666666667,2016-12-30,2016-12-26,3,73,9,0.00999567185191613,0.000348768220207859,0.042570502348932
"2017-Q1",2017-05-03,1,33,0.455026922190727,0,0.0922248121054968,55.6,2017-03-31,2017-03-26,3,74,9,0.00292879415927958,2.88324784547577e-05,0.0156445716603981
"2017-Q2",2017-08-01,1,32,0.561155338791841,0,0.0368645976749952,56.6333333333333,2017-06-30,2017-06-26,3,75,9,0.0015027590446194,8.09294945563553e-06,0.00934070622068961
"2017-Q3",2017-10-31,1,31,0.584607521374814,0,0.0069620055242479,56.0333333333333,2017-09-29,2017-09-26,3,76,9,0.00227451383765054,1.60916626941745e-05,0.0115460315550172
